model,dataset,seed,scenario,bound_type,delta,final_bound,max_bound,actual_final_divergence,actual_max_divergence,looseness_final,looseness_max,bound_holds,certifies_safe,abstains,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_shadow_present_not_loaded,B_fixed_rewritten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.13489529999969818
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_shadow_present_not_loaded,C_fixed_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.13489529999969818
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_shadow_present_not_loaded,D_stepwise_product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.5488992416664285
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_shadow_present_not_loaded,E_empirical_envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.13489529999969818
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_loaded_as_parameters,A_fixed_clean,1.1700841188430786,2.5079758481174967,2.5079758481174967,0.18741340935230255,1.1700841188430786,13.382051245879456,2.14341499703223,True,False,False,0.13609080000060203
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_loaded_as_parameters,B_fixed_rewritten,1.1700841188430786,3.793950830190231,3.793950830190231,0.18741340935230255,1.1700841188430786,20.243753332816784,3.242459895910306,True,False,False,0.13609080000060203
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_loaded_as_parameters,C_fixed_max,1.1700841188430786,3.793950830190231,3.793950830190231,0.18741340935230255,1.1700841188430786,20.243753332816784,3.242459895910306,True,False,False,0.13609080000060203
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_loaded_as_parameters,D_stepwise_product,1.1700841188430786,2.50480034474992,2.50480034474992,0.18741340935230255,1.1700841188430786,13.365107402967942,2.1407010867103664,True,False,False,0.5500947416673323
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_loaded_as_parameters,E_empirical_envelope,1.1700841188430786,0.18741340935230255,1.1700841188430786,0.18741340935230255,1.1700841188430786,1.0,1.0,True,False,False,0.13609080000060203
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,mild_lr_decrease,A_fixed_clean,0.005416467320173979,0.01160973728499588,0.01160973728499588,0.04539256542921066,0.05845864117145538,0.2557629685658805,0.1985974537270765,False,False,True,0.13734719999956724
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,mild_lr_decrease,B_fixed_rewritten,0.005416467320173979,0.016822050347011144,0.016822050347011144,0.04539256542921066,0.05845864117145538,0.3705904301277044,0.28775985910574226,False,False,True,0.13734719999956724
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,mild_lr_decrease,C_fixed_max,0.005416467320173979,0.016822050347011144,0.016822050347011144,0.04539256542921066,0.05845864117145538,0.3705904301277044,0.28775985910574226,False,False,True,0.13734719999956724
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,mild_lr_decrease,D_stepwise_product,0.005416467320173979,0.011595037478427618,0.011595037478427618,0.04539256542921066,0.05845864117145538,0.2554391312495872,0.19834599720544527,False,False,True,0.5513511416662975
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,mild_lr_decrease,E_empirical_envelope,0.005416467320173979,0.0461287480098406,0.05940673108245275,0.04539256542921066,0.05845864117145538,1.0162181311778469,1.0162181311778473,True,False,False,0.13734719999956724
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,A_fixed_clean,0.0974964126944542,0.20897527312613662,0.20897527312613662,0.026703575626015663,0.33392342925071716,7.825741243526383,0.6258179415414225,False,False,False,0.13692909999917902
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,B_fixed_rewritten,0.0974964126944542,8337.49952443677,8337.49952443677,0.026703575626015663,0.33392342925071716,312224.08718606405,24968.297502050355,False,False,False,0.13692909999917902
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,C_fixed_max,0.0974964126944542,8337.49952443677,8337.49952443677,0.026703575626015663,0.33392342925071716,312224.08718606405,24968.297502050355,False,False,False,0.13692909999917902
