model,dataset,seed,scenario,direction_type,probe_trials,probe_steps,L_estimate,actual_growth,missed_worst_case,bound_holds,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,trajectory_aligned,3,15,1.06222182664725,2.045994642779653,True,False,0.018061900000247988
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,trajectory_aligned,5,15,1.0630163283831089,2.045994642779653,True,False,0.030631200001153047
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,trajectory_aligned,10,15,1.0699016808783193,2.045994642779653,True,False,0.061037400000714115
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,trajectory_aligned,20,15,1.070745118362145,2.045994642779653,True,False,0.12081730000136304
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,trajectory_aligned,50,15,1.0732465631588533,2.278064826191631,True,False,0.3028909000004205
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,top_hessian,1,15,1.090034219549126,1.964573566941212,True,False,0.005977099999654456
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,top_hessian,3,15,1.1165216207608453,2.351419391800335,True,False,0.0182332000003953
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,top_hessian,5,15,1.1193979938591736,2.351419391800335,True,False,0.029294500000105472
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,top_hessian,10,15,1.11527372377428,2.351419391800335,True,False,0.0584911000005377
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,top_hessian,20,15,1.1168430080575338,2.351419391800335,True,False,0.1186983000006876
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,top_hessian,50,15,1.1144660114715366,2.4443757264131927,True,False,0.2936802999993233
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,adam_denom_sensitive,1,15,1.332305482962514,3.4800935251615353,False,True,0.006063900000299327
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,adam_denom_sensitive,3,15,1.3334097528927848,3.5626293710771217,False,True,0.01774460000160616
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,severe_lr_increase,adam_denom_sensitive,5,15,1.3331266972182716,3.5626293710771217,False,True,0.030005000000528526
